,DATE,WTI_HH,NCF_RCF,NCF_WTI,NCF_HH,NCF_NBP,NCF_B,RCF_B,RCF_NBP,WTI_B,WTI_HH_r,NCF_RCF_r,NCF_WTI_r,NCF_HH_r,NCF_NBP_r,NCF_B_r,RCF_B_r,RCF_NBP_r
4092,2020-03-16,15.322751322751325,1.4096774193548387,2.263466850828729,34.682539682539684,23.2785891704736,2.1813643926788684,1.5474209650582362,16.513415658688366,0.9637271214642263,-0.06285821039919381,-0.0027282086479065715,0.0911423785453993,0.02255512133931581,0.043991233069561986,0.12217605915166718,0.12524596492419549,0.04684725079221064
4093,2020-03-17,14.264550264550266,1.4023354564755837,2.4499258160237387,34.94708994708995,24.36838474908791,2.298990602158023,1.6394013226592412,17.377001085269352,0.9383919248172642,-0.06906077348066297,-0.0052082574200664755,0.082377599268459,0.0076277650648359785,0.04681536198923064,0.053923227991587996,0.05944106980452046,0.05229599038928212
4094,2020-03-18,11.838150289017342,1.3828451882845187,3.2275390624999996,38.20809248554913,25.70537733160605,2.6567524115755625,1.9212218649517685,18.588760006819506,0.8231511254019294,-0.17009999828476352,-0.01389843500074428,0.3174027725208175,0.09331256317468362,0.05486586806161564,0.15561690816905238,0.17190454734743765,0.06973348943261404
4095,2020-03-19,14.93452380952381,1.41044776119403,2.6365085691510566,39.37500000000001,24.70349088894924,2.3234984193888306,1.6473480857042502,17.514644333964007,0.8812785388127854,0.2615588960193451,0.01996071081807327,-0.18312109688027767,0.03054084720121053,-0.03897575319483604,-0.12543660099252485,-0.1425518750560305,-0.05778307280644035
4096,2020-03-20,11.068181818181818,1.3957894736842105,3.403490759753593,37.67045454545455,25.728101388743152,2.4573758339510747,1.76056338028169,18.432651824514327,0.7220163083765753,-0.25888619152867864,-0.010392648287385287,0.2909082866548396,-0.04329004329004338,0.04147634455388882,0.057618896335405845,0.06872578756118797,0.052413710095736255
4099,2020-03-23,13.723529411764705,1.3934599156118144,2.831118731247321,38.85294117647059,26.4689103112295,2.4435812060673325,1.7536071032186458,18.99509990540921,0.8631150573436921,0.2399082014736078,-0.0016689895692129086,-0.16817205302114901,0.03139029367403068,0.028793765668634785,-0.0056135604872302736,-0.003951165371809173,0.030513682255249863
4100,2020-03-24,12.156069364161851,1.3955928646379854,3.1621493105087968,38.4393063583815,26.16932616543028,2.4493554327808473,1.7550644567219154,18.75140438771057,0.7745856353591161,-0.11421697732211111,0.0015306855994019486,0.1169257140676796,-0.01064616488647152,-0.011318340735474886,0.002363018138778372,0.0008310604471175598,-0.012829388574536749
4101,2020-03-25,11.527777777777777,1.3751295336787563,3.197590361445783,36.86111111111111,27.021066861766776,2.4224169404892293,1.7615918218327857,19.64983385200071,0.7575757575757576,-0.05168542294077261,-0.01466282286025955,0.011207899266237886,-0.04105680868838768,0.032547291854294835,-0.010998196476953881,0.0037191597641159646,0.04791264940555395
4102,2020-03-26,9.595375722543354,1.386861313868613,4.006024096385542,38.4393063583815,27.532264501844043,2.524677296886864,1.820425208807897,19.852211772382283,0.6302201974183752,-0.16763005780346807,0.008531400062706584,0.25282592313489083,0.04281464122210554,0.01891848470278501,0.04221418480378625,0.03339785428493869,0.010299217891909462
4103,2020-03-27,9.105882352941176,1.3621673003802282,4.6285529715762275,42.14705882352941,31.050920910075842,2.874047332531087,2.109907741676695,22.795232936078005,0.6209386281588448,-0.05101346562721487,-0.017805683410045958,0.1553981853859454,0.09645731977001337,0.1278011987715768,0.13838205622359157,0.15901918489601963,0.14824651265255762
4106,2020-03-30,8.545454545454545,1.3596059113300492,4.8936170212765955,41.81818181818182,33.87772047915076,3.031634446397188,2.229789103690685,24.917308903143496,0.6195079086115992,-0.06154568945266625,-0.0018803777256024556,0.05726715267776261,-0.0078030831694474445,0.09103754369351535,0.05483107813931465,0.05681829572260022,0.09309297136889016
4107,2020-03-31,11.994152046783627,1.3762677484787018,3.3081423695758163,39.67836257309941,33.35685274136792,2.574952561669829,1.8709677419354838,24.237182610898138,0.7783681214421253,0.4035709841980841,0.012254901960784492,-0.32398829839102883,-0.051169590643274976,-0.015374934630073223,-0.15063883617963325,-0.16092165898617505,-0.027295334937215254
4108,2020-04-01,12.000000000000002,1.3866943866943866,3.2889546351084813,39.46745562130178,33.578440848782435,2.696038803556993,1.944219886822959,24.214737703544753,0.8197251414713016,0.0004875670404680399,0.0075760245251770275,-0.005800153779293216,-0.005315414702637411,0.006642956070603834,0.04702464957592878,0.039152008474340194,-0.0009260526569326855
4109,2020-04-02,16.24516129032258,1.3951527924130664,2.629070691024623,42.70967741935484,32.78248199241427,2.2110888443553773,1.5848363393453575,23.497413452266724,0.8410153640614562,0.35376344086021483,0.006099689881087,-0.200636377601509,0.08214924795666678,-0.023704461441574898,-0.17987499236353777,-0.18484717182111976,-0.029623457419198918
4110,2020-04-03,18.906666666666666,1.432754880694143,2.328984485190409,44.03333333333333,33.15529367307646,1.9363822925828202,1.3515098211668133,23.1409392631162,0.831427733802404,0.16383373047392102,0.0269519499839439,-0.11414155079917687,0.030991943605236605,0.01137228354913633,-0.12424039516722596,-0.14722436152298446,-0.015170784217364064
4113,2020-04-06,15.981707317073171,1.3855291576673867,2.4475391072109884,39.115853658536594,30.68779211405545,1.9409984871406962,1.400907715582451,22.148788384735266,0.7930408472012104,-0.1547051842168633,-0.03296148117386022,0.0509039981908197,-0.11167629844352922,-0.07442255174547663,0.002383927272810782,0.03655015571621267,-0.042874270015577975
4114,2020-04-07,12.863387978142075,1.3560042507970245,2.710280373831776,34.86338797814207,30.25075313944023,2.00188264825855,1.476310009413241,22.30874506599785,0.7386256667712582,-0.19511803570572295,-0.02130948071859351,0.10734915975262416,-0.10871463313869079,-0.014241460349799784,0.031367443880671475,0.053823883609235734,0.007221915640894583
4115,2020-04-08,13.424731182795698,1.344420600858369,2.509010812975571,33.68279569892473,29.949136661758804,1.9077344701583432,1.4190012180267966,22.276612425186915,0.7603532277710109,0.04363883026831483,-0.008542487924980247,-0.07426152762625493,-0.03386338355748808,-0.009970544412270743,-0.04702981874692158,-0.03881894115804441,-0.0014403607516189076
4116,2020-04-09,13.160919540229884,1.358974358974359,2.7772925764192142,36.55172413793103,30.286969031574166,2.020330368487929,1.4866581956797966,22.286637589271557,0.7274459974587039,-0.01965116760802621,0.010825301328094783,0.10692730459996458,0.08517489060736994,0.011280203954818324,0.05902073904459049,0.047679294981212816,0.00045003090655315603
