NCF_r,RCF_r,WTI_r,HH_r,Brent_r,NBP_r
0.012800175,0.008995563,0.056505533,0.025389234,0.046766686,-0.032710856
0,0,-0.039435131,-0.036883613,-0.036162132,0.013646296
-0.004780886,0.002236304,-0.014238684,0.036883613,-0.003458217,-0.047647099
0.003985657,-0.002236304,-0.005062277,0.002781643,-0.003277111,0.010698508
0.000795229,-0.005988042,0.022084816,-0.036779252,0.029676897,-0.0169504
0,-0.005269113,-0.094476532,0.02279301,-0.0676549,-0.061874773
-0.002387586,-0.007575794,0.01795225,-0.034387342,-0.000802568,-0.005762858
0,-0.003809528,0.01616025,0.014472033,-0.000200743,0.084959508
-0.008000043,-0.003824096,0.021905538,-0.005763705,0.006004822,-0.009215302
0.001605137,0.003060446,0.044200515,-0.0443204,0.030656753,0.013866783
-0.006436064,-0.105445402,-0.032914872,-0.006060625,-0.033054357,-0.028012477
-0.003233633,0.018503472,0.023791445,0.041672696,0.015679591,0.010256964
0.011272261,0.009124908,0.003182815,-0.053905265,0.000393778,0.020377213
-0.000800961,-0.000826105,0.035700661,0.015267472,0.039561358,-0.022794197
0,0,0.04258357,0.050232125,0.032209803,0.003012353
0.017474631,-0.00165426,-0.011823526,0.042319432,-0.008463712,0.01819328
-0.021810942,-0.002486533,0.045057576,0.013717636,0.036822878,0.028582817
0.020550305,0.018581477,0.006728071,0.076052363,0.005682843,-0.004361012
0.001260637,0.001953126,0.033148371,0.049271049,0.029144371,0.000793472
-0.013795509,-0.012270093,-0.013577591,0.019048195,-0.011416834,-0.009987115
0.013795509,0.020367303,0.017496158,0.03931142,0.007970931,0.014388132
-0.00790518,0.001611604,-0.013868898,0.002265007,-0.010409532,0.009741534
0.00790518,-0.009708814,0.009950331,-0.075152722,-0.011400632,-0.020636809
0.003929278,0.009708814,0.006974597,-0.019705071,0.030915974,0.001209797
0.00781254,0.002412546,0.008944453,-0.007490672,0.007666789,0.027233155
0.019268419,0.005606743,0.031911445,-0.062035391,0.027949271,0.00157917
-0.003058106,-0.004001606,-0.015745774,0.005319161,-0.010952648,-0.013152972
0.003821174,0.008782492,0.0108518,-0.10036271,0.014083573,-0.023256045
-0.011044751,0.011538894,0.021516643,-0.017751945,0.007539783,-0.06535381
-0.00308976,-0.009950331,0.014775072,0.04094139,0.020365986,0.00943368
-0.007766426,0,0.02614935,0.017045867,0.029791785,-0.000994843
-0.000155945,-0.003976148,0.018569788,0.09914405,0.017397098,0.046809693
0.117297717,0.127036241,0.033660232,0.032625227,0.039649146,0.066942456
-0.025993736,-0.045217606,-0.036227239,-0.061087692,-0.03416968,-0.033786724
0.034968598,0.011678965,0.039430037,-0.062266389,0.042059844,0.012240319
0.01161612,-0.009478744,-0.00539242,-0.019746763,-0.005399502,-0.035262202
0,0.007299302,-0.005568596,0.005681833,-0.006753806,-0.01616152
0.006770507,0.015157273,0.028538186,0,0.025310442,0.038819227
0,0.007137789,0.019236803,0.008462674,0.016807118,0.009195895
0.00873368,-0.015770936,0.018186105,-0.014144507,0.01388619,-0.009080065
0.002004678,-0.018228722,-0.007733777,0.00851069,-0.012192709,-0.011595408
-0.025694449,0.000735565,-0.022290122,0.07087434,-0.021089411,-0.025555297
-0.018666287,-0.035932009,0.007485382,0.048790164,0.020101896,0.025496246
0.009722299,-0.013041995,0.004912635,0.048909503,0.002959624,-0.006739195
0.015769953,0.002313923,-0.025813375,-0.036456042,-0.026668247,-0.001644902
-0.032495082,-0.057883774,-0.036729566,-0.007453451,-0.032462276,-0.034732244
0.014649721,0.066322643,0.025314082,-0.025253867,0.026809678,0.020174541
0.002075407,0.002289204,-0.009784671,-0.028536307,-0.006854836,-0.013199036
0.002071109,0.006079046,0.022635906,0.005249356,0.020998527,-0.01718732
-0.007615129,-0.013730193,-0.007777657,-0.002621233,-0.012401024,0.001758662
-0.037526527,-0.035173614,0.009497841,-0.023905521,0.005498495,0.042342834
0.001441961,0.011862535,-0.007187037,-0.02449102,-0.007386521,-0.006669374
-0.008683123,0.010168253,-0.038828407,-0.039330912,-0.031603339,0.006420703
0.030771659,-0.005462362,-0.040084914,-0.074328406,-0.039791018,-0.048415788
-0.002822867,0.005462362,-0.018591996,0.018349139,-0.012885156,0.000854307
0.003527341,0.005432687,-0.044386706,-0.024541109,-0.045293202,-0.02314413
0.008415197,0.028987537,0.003485191,0.042559614,0.011026196,-0.012544476
0.012491488,0.008982096,-0.007149419,-0.036367644,-0.009537977,-0.093160061
-0.004839277,0.014793169,-0.004012712,-0.021841742,0.002805051,-0.033396965
0.007594099,0.008043919,-0.001173414,0.037155977,0.002797205,0.000849613
0.004118057,-0.000728597,0.030883472,0.02402518,0.035986134,-0.040195806
